,current_state,lemma,lemma_input_entities,interest_score
20,"('(c*(a*c))=((c*a)*c)', '(c*(a*c))=(0+(c*(a*c)))', '((c*a)*c)=(0+(c*(a*c)))', '(0*(((c*a)*c)+(c*a)))=((0*((c*a)*c))+(0*(c*a)))', '(0*((0+(c*(a*c)))+(c*a)))=((0*((c*a)*c))+(0*(c*a)))', '((a*c)+f)=c')",MultiplicationCommutativity,"('c', 'a')",8
21,"('(c*(a*c))=((c*a)*c)', '(c*(a*c))=(0+(c*(a*c)))', '((c*a)*c)=(0+(c*(a*c)))', '(0*(((c*a)*c)+(c*a)))=((0*((c*a)*c))+(0*(c*a)))', '(0*((0+(c*(a*c)))+(c*a)))=((0*((c*a)*c))+(0*(c*a)))', '(c*a)=(a*c)', '((a*c)+f)=c')",EquivalenceSubstitution,"('(c*a)', '(a*c)')",8
22,"('(c*(a*c))=((c*a)*c)', '(c*(a*c))=(0+(c*(a*c)))', '((c*a)*c)=(0+(c*(a*c)))', '(0*(((c*a)*c)+(c*a)))=((0*((c*a)*c))+(0*(c*a)))', '(0*((0+(c*(a*c)))+(c*a)))=((0*((c*a)*c))+(0*(c*a)))', '(c*a)=(a*c)', '(0*((0+(c*(a*c)))+(c*a)))=((0*((a*c)*c))+(0*(c*a)))', '((a*c)+f)=c')",PrincipleOfEquality,"('(0*((0+(c*(a*c)))+(c*a)))', '((0*((a*c)*c))+(0*(c*a)))', '((a*c)+f)', 'c')",8
23,"('(c+f)=b',)",SquareDefinition,"('a',)",8
24,"('(a*a)=(a^2)', '(c+f)=b')",AdditionMultiplicationLeftDistribution,"('b', '(a*a)', '(a*a)')",8
25,"('(a*a)=(a^2)', '(((a*a)+(a*a))*b)=(((a*a)*b)+((a*a)*b))', '(c+f)=b')",EquivalenceSubstitution,"('(a*a)', '(a^2)')",8
26,"('(a*a)=(a^2)', '(((a*a)+(a*a))*b)=(((a*a)*b)+((a*a)*b))', '(((a*a)+(a^2))*b)=(((a*a)*b)+((a*a)*b))', '(c+f)=b')",MultiplicationCommutativity,"('a', 'a')",8
27,"('(a*a)=(a^2)', '(((a*a)+(a*a))*b)=(((a*a)*b)+((a*a)*b))', '(((a*a)+(a^2))*b)=(((a*a)*b)+((a*a)*b))', '(a*a)=(a*a)', '(c+f)=b')",PrincipleOfEquality,"('(a*a)', '(a*a)', '(c+f)', 'b')",8
28,"('(a*a)=(a^2)', '(((a*a)+(a*a))*b)=(((a*a)*b)+((a*a)*b))', '(((a*a)+(a^2))*b)=(((a*a)*b)+((a*a)*b))', '(a*a)=(a*a)', '(c+f)=b', '((a*a)+(c+f))=((a*a)+b)')",MultiplicationAssociativity,"('((a*a)+(c+f))', '(a^2)', '(a*a)')",8
29,"('(a*a)=(a^2)', '(((a*a)+(a*a))*b)=(((a*a)*b)+((a*a)*b))', '(((a*a)+(a^2))*b)=(((a*a)*b)+((a*a)*b))', '(a*a)=(a*a)', '(c+f)=b', '((a*a)+(c+f))=((a*a)+b)', '(((a*a)+(c+f))*((a^2)*(a*a)))=((((a*a)+(c+f))*(a^2))*(a*a))')",EquivalenceSubstitution,"('((a*a)+(c+f))', '((a*a)+b)')",8
30,(),AdditionMultiplicationRightDistribution,"('a', 'b', 'c')",8
31,"('(a*(b+c))=((a*b)+(a*c))',)",AdditionSimplification,"('(a*(b+c))',)",8
32,"('(a*(b+c))=((a*b)+(a*c))', '0=((a*(b+c))+(-(a*(b+c))))')",EquivalenceSubstitution,"('(a*(b+c))', '((a*b)+(a*c))')",8
33,"('(a*(b+c))=((a*b)+(a*c))', '0=((a*(b+c))+(-(a*(b+c))))', '0=((a*(b+c))+(-((a*b)+(a*c))))')",AdditionMultiplicationLeftDistribution,"('0', '(a*b)', '0')",8
34,"('(a*(b+c))=((a*b)+(a*c))', '0=((a*(b+c))+(-(a*(b+c))))', '0=((a*(b+c))+(-((a*b)+(a*c))))', '(((a*b)+0)*0)=(((a*b)*0)+(0*0))')",EquivalenceSubstitution,"('0', '((a*(b+c))+(-((a*b)+(a*c))))')",8
35,"('(a*(b+c))=((a*b)+(a*c))', '0=((a*(b+c))+(-(a*(b+c))))', '0=((a*(b+c))+(-((a*b)+(a*c))))', '(((a*b)+0)*0)=(((a*b)*0)+(0*0))', '(((a*b)+((a*(b+c))+(-((a*b)+(a*c)))))*0)=(((a*b)*0)+(0*0))')",MultiplicationSimplification,"('(((a*b)+((a*(b+c))+(-((a*b)+(a*c)))))*0)',)",8
36,"('(a*(b+c))=((a*b)+(a*c))', '0=((a*(b+c))+(-(a*(b+c))))', '0=((a*(b+c))+(-((a*b)+(a*c))))', '(((a*b)+0)*0)=(((a*b)*0)+(0*0))', '(((a*b)+((a*(b+c))+(-((a*b)+(a*c)))))*0)=(((a*b)*0)+(0*0))', '1=((((a*b)+((a*(b+c))+(-((a*b)+(a*c)))))*0)*(\\frac{1}{(((a*b)+((a*(b+c))+(-((a*b)+(a*c)))))*0)}))')",EquivalenceSubstitution,"('(((a*b)+((a*(b+c))+(-((a*b)+(a*c)))))*0)', '(((a*b)*0)+(0*0))')",8
37,"('(a*(b+c))=((a*b)+(a*c))', '0=((a*(b+c))+(-(a*(b+c))))', '0=((a*(b+c))+(-((a*b)+(a*c))))', '(((a*b)+0)*0)=(((a*b)*0)+(0*0))', '(((a*b)+((a*(b+c))+(-((a*b)+(a*c)))))*0)=(((a*b)*0)+(0*0))', '1=((((a*b)+((a*(b+c))+(-((a*b)+(a*c)))))*0)*(\\frac{1}{(((a*b)+((a*(b+c))+(-((a*b)+(a*c)))))*0)}))', '1=((((a*b)+((a*(b+c))+(-((a*b)+(a*c)))))*0)*(\\frac{1}{(((a*b)*0)+(0*0))}))')",MultiplicationOne,"('1', '1')",8
38,"('(a*(b+c))=((a*b)+(a*c))', '0=((a*(b+c))+(-(a*(b+c))))', '0=((a*(b+c))+(-((a*b)+(a*c))))', '(((a*b)+0)*0)=(((a*b)*0)+(0*0))', '(((a*b)+((a*(b+c))+(-((a*b)+(a*c)))))*0)=(((a*b)*0)+(0*0))', '1=((((a*b)+((a*(b+c))+(-((a*b)+(a*c)))))*0)*(\\frac{1}{(((a*b)+((a*(b+c))+(-((a*b)+(a*c)))))*0)}))', '1=((((a*b)+((a*(b+c))+(-((a*b)+(a*c)))))*0)*(\\frac{1}{(((a*b)*0)+(0*0))}))', '1=(1*1)')",EquivalenceSubstitution,"('1', '((((a*b)+((a*(b+c))+(-((a*b)+(a*c)))))*0)*(\\frac{1}{(((a*b)*0)+(0*0))}))')",8
39,"('(b+f)=(a*1)',)",MultiplicationOne,"('a', '1')",6
40,"('a=(a*1)', '(b+f)=(a*1)')",AdditionSimplification,"('a',)",6
41,"('a=(a*1)', '0=(a+(-a))', '(b+f)=(a*1)')",EquivalenceSubstitution,"('a', '(a*1)')",6
42,"('a=(a*1)', '0=(a+(-a))', '0=(a+(-(a*1)))', '(b+f)=(a*1)')",AdditionMultiplicationLeftDistribution,"('0', '0', 'b')",6
43,"('a=(a*1)', '0=(a+(-a))', '0=(a+(-(a*1)))', '((0+b)*0)=((0*0)+(b*0))', '(b+f)=(a*1)')",EquivalenceSubstitution,"('0', '(a+(-(a*1)))')",6
44,"('a=(a*1)', '0=(a+(-a))', '0=(a+(-(a*1)))', '((0+b)*0)=((0*0)+(b*0))', '(((a+(-(a*1)))+b)*0)=((0*0)+(b*0))', '(b+f)=(a*1)')",PrincipleOfEquality,"('(((a+(-(a*1)))+b)*0)', '((0*0)+(b*0))', '(b+f)', '(a*1)')",6
45,"('a=(a*1)', '0=(a+(-a))', '0=(a+(-(a*1)))', '((0+b)*0)=((0*0)+(b*0))', '(((a+(-(a*1)))+b)*0)=((0*0)+(b*0))', '(b+f)=(a*1)', '((((a+(-(a*1)))+b)*0)+(b+f))=(((0*0)+(b*0))+(a*1))')",MultiplicationSimplification,"('((((a+(-(a*1)))+b)*0)+(b+f))',)",6
46,"('a=(a*1)', '0=(a+(-a))', '0=(a+(-(a*1)))', '((0+b)*0)=((0*0)+(b*0))', '(((a+(-(a*1)))+b)*0)=((0*0)+(b*0))', '(b+f)=(a*1)', '((((a+(-(a*1)))+b)*0)+(b+f))=(((0*0)+(b*0))+(a*1))', '1=(((((a+(-(a*1)))+b)*0)+(b+f))*(\\frac{1}{((((a+(-(a*1)))+b)*0)+(b+f))}))')",EquivalenceSubstitution,"('((((a+(-(a*1)))+b)*0)+(b+f))', '(((0*0)+(b*0))+(a*1))')",6
47,(),AdditionZero,"('0', 'b')",2
48,"('b=(0+b)',)",SquareDefinition,"('b',)",2
49,"('b=(0+b)', '(b*b)=(b^2)')",EquivalenceSubstitution,"('b', '(0+b)')",2
50,"('b=(0+b)', '(b*b)=(b^2)', '(b*(0+b))=(b^2)')",AdditionMultiplicationLeftDistribution,"('(b^2)', '(b*(0+b))', 'b')",2
51,"('b=(0+b)', '(b*b)=(b^2)', '(b*(0+b))=(b^2)', '(((b*(0+b))+b)*(b^2))=(((b*(0+b))*(b^2))+(b*(b^2)))')",EquivalenceSubstitution,"('(b*(0+b))', '(b^2)')",2
52,"('b=(0+b)', '(b*b)=(b^2)', '(b*(0+b))=(b^2)', '(((b*(0+b))+b)*(b^2))=(((b*(0+b))*(b^2))+(b*(b^2)))', '(((b^2)+b)*(b^2))=(((b*(0+b))*(b^2))+(b*(b^2)))')",AdditionSimplification,"('(((b^2)+b)*(b^2))',)",2
53,"('b=(0+b)', '(b*b)=(b^2)', '(b*(0+b))=(b^2)', '(((b*(0+b))+b)*(b^2))=(((b*(0+b))*(b^2))+(b*(b^2)))', '(((b^2)+b)*(b^2))=(((b*(0+b))*(b^2))+(b*(b^2)))', '0=((((b^2)+b)*(b^2))+(-(((b^2)+b)*(b^2))))')",EquivalenceSubstitution,"('(((b^2)+b)*(b^2))', '(((b*(0+b))*(b^2))+(b*(b^2)))')",2
54,"('b=(0+b)', '(b*b)=(b^2)', '(b*(0+b))=(b^2)', '(((b*(0+b))+b)*(b^2))=(((b*(0+b))*(b^2))+(b*(b^2)))', '(((b^2)+b)*(b^2))=(((b*(0+b))*(b^2))+(b*(b^2)))', '0=((((b^2)+b)*(b^2))+(-(((b^2)+b)*(b^2))))', '0=((((b^2)+b)*(b^2))+(-(((b*(0+b))*(b^2))+(b*(b^2)))))')",AdditionAssociativity,"('0', 'a', '0')",2
55,"('b=(0+b)', '(b*b)=(b^2)', '(b*(0+b))=(b^2)', '(((b*(0+b))+b)*(b^2))=(((b*(0+b))*(b^2))+(b*(b^2)))', '(((b^2)+b)*(b^2))=(((b*(0+b))*(b^2))+(b*(b^2)))', '0=((((b^2)+b)*(b^2))+(-(((b^2)+b)*(b^2))))', '0=((((b^2)+b)*(b^2))+(-(((b*(0+b))*(b^2))+(b*(b^2)))))', '(0+(a+0))=((0+a)+0)')",EquivalenceSubstitution,"('0', '((((b^2)+b)*(b^2))+(-(((b*(0+b))*(b^2))+(b*(b^2)))))')",2
56,(),MultiplicationSimplification,"('a',)",2
57,"('1=(a*(\\frac{1}{a}))',)",MultiplicationOne,"('1', '1')",2
58,"('1=(a*(\\frac{1}{a}))', '1=(1*1)')",EquivalenceSubstitution,"('1', '(a*(\\frac{1}{a}))')",2
59,"('1=(a*(\\frac{1}{a}))', '1=(1*1)', '(a*(\\frac{1}{a}))=(1*1)')",AdditionZero,"('(a*(\\frac{1}{a}))', '0')",2
60,"('1=(a*(\\frac{1}{a}))', '1=(1*1)', '(a*(\\frac{1}{a}))=(1*1)', '(a*(\\frac{1}{a}))=((a*(\\frac{1}{a}))+0)')",EquivalenceSubstitution,"('(a*(\\frac{1}{a}))', '(1*1)')",2
61,"('1=(a*(\\frac{1}{a}))', '1=(1*1)', '(a*(\\frac{1}{a}))=(1*1)', '(a*(\\frac{1}{a}))=((a*(\\frac{1}{a}))+0)', '(1*1)=((a*(\\frac{1}{a}))+0)')",MultiplicationCommutativity,"('1', '1')",2
62,"('1=(a*(\\frac{1}{a}))', '1=(1*1)', '(a*(\\frac{1}{a}))=(1*1)', '(a*(\\frac{1}{a}))=((a*(\\frac{1}{a}))+0)', '(1*1)=((a*(\\frac{1}{a}))+0)', '(1*1)=(1*1)')",SquareDefinition,"('1',)",2
63,(),SquareDefinition,"('c',)",2
64,"('(c*c)=(c^2)',)",AdditionAssociativity,"('(c*c)', 'a', '(c*c)')",2
65,"('(c*c)=(c^2)', '((c*c)+(a+(c*c)))=(((c*c)+a)+(c*c))')",EquivalenceSubstitution,"('(c*c)', '(c^2)')",2
66,"('(c*c)=(c^2)', '((c*c)+(a+(c*c)))=(((c*c)+a)+(c*c))', '((c^2)+(a+(c*c)))=(((c*c)+a)+(c*c))')",AdditionCommutativity,"('(c*c)', 'a')",2
67,"('(c*c)=(c^2)', '((c*c)+(a+(c*c)))=(((c*c)+a)+(c*c))', '((c^2)+(a+(c*c)))=(((c*c)+a)+(c*c))', '((c*c)+a)=(a+(c*c))')",EquivalenceSubstitution,"('((c*c)+a)', '(a+(c*c))')",2
68,"('(c*c)=(c^2)', '((c*c)+(a+(c*c)))=(((c*c)+a)+(c*c))', '((c^2)+(a+(c*c)))=(((c*c)+a)+(c*c))', '((c*c)+a)=(a+(c*c))', '((c^2)+(a+(c*c)))=((a+(c*c))+(c*c))')",AdditionMultiplicationLeftDistribution,"('((c^2)+(a+(c*c)))', 'a', '(c^2)')",2
69,"('(c*c)=(c^2)', '((c*c)+(a+(c*c)))=(((c*c)+a)+(c*c))', '((c^2)+(a+(c*c)))=(((c*c)+a)+(c*c))', '((c*c)+a)=(a+(c*c))', '((c^2)+(a+(c*c)))=((a+(c*c))+(c*c))', '((a+(c^2))*((c^2)+(a+(c*c))))=((a*((c^2)+(a+(c*c))))+((c^2)*((c^2)+(a+(c*c)))))')",EquivalenceSubstitution,"('((c^2)+(a+(c*c)))', '((a+(c*c))+(c*c))')",2
70,"('(c*c)=(c^2)', '((c*c)+(a+(c*c)))=(((c*c)+a)+(c*c))', '((c^2)+(a+(c*c)))=(((c*c)+a)+(c*c))', '((c*c)+a)=(a+(c*c))', '((c^2)+(a+(c*c)))=((a+(c*c))+(c*c))', '((a+(c^2))*((c^2)+(a+(c*c))))=((a*((c^2)+(a+(c*c))))+((c^2)*((c^2)+(a+(c*c)))))', '((a+(c^2))*((a+(c*c))+(c*c)))=((a*((c^2)+(a+(c*c))))+((c^2)*((c^2)+(a+(c*c)))))')",MultiplicationCommutativity,"('c', 'c')",2
71,(),AdditionSimplification,"('a',)",8
72,"('0=(a+(-a))',)",SquareDefinition,"('0',)",8
73,"('0=(a+(-a))', '(0*0)=(0^2)')",EquivalenceSubstitution,"('0', '(a+(-a))')",8
74,"('0=(a+(-a))', '(0*0)=(0^2)', '(0*(a+(-a)))=(0^2)')",MultiplicationSimplification,"('(0*(a+(-a)))',)",8
75,"('0=(a+(-a))', '(0*0)=(0^2)', '(0*(a+(-a)))=(0^2)', '1=((0*(a+(-a)))*(\\frac{1}{(0*(a+(-a)))}))')",EquivalenceSubstitution,"('(0*(a+(-a)))', '(0^2)')",8
76,"('0=(a+(-a))', '(0*0)=(0^2)', '(0*(a+(-a)))=(0^2)', '1=((0*(a+(-a)))*(\\frac{1}{(0*(a+(-a)))}))', '1=((0*(a+(-a)))*(\\frac{1}{(0^2)}))')",MultiplicationOne,"('1', '1')",8
77,"('0=(a+(-a))', '(0*0)=(0^2)', '(0*(a+(-a)))=(0^2)', '1=((0*(a+(-a)))*(\\frac{1}{(0*(a+(-a)))}))', '1=((0*(a+(-a)))*(\\frac{1}{(0^2)}))', '1=(1*1)')",EquivalenceSubstitution,"('1', '((0*(a+(-a)))*(\\frac{1}{(0^2)}))')",8
78,"('0=(a+(-a))', '(0*0)=(0^2)', '(0*(a+(-a)))=(0^2)', '1=((0*(a+(-a)))*(\\frac{1}{(0*(a+(-a)))}))', '1=((0*(a+(-a)))*(\\frac{1}{(0^2)}))', '1=(1*1)', '((0*(a+(-a)))*(\\frac{1}{(0^2)}))=(1*1)')",AdditionMultiplicationRightDistribution,"('0', 'a', '(-a)')",8
79,"('0=(a+(-a))', '(0*0)=(0^2)', '(0*(a+(-a)))=(0^2)', '1=((0*(a+(-a)))*(\\frac{1}{(0*(a+(-a)))}))', '1=((0*(a+(-a)))*(\\frac{1}{(0^2)}))', '1=(1*1)', '((0*(a+(-a)))*(\\frac{1}{(0^2)}))=(1*1)', '(0*(a+(-a)))=((0*a)+(0*(-a)))')",EquivalenceSubstitution,"('(0*(a+(-a)))', '((0*a)+(0*(-a)))')",8
80,"('(c+f)=c',)",PrincipleOfEquality,"('a', 'a', '(c+f)', 'c')",6
81,"('(c+f)=c', '(a+(c+f))=(a+c)')",MultiplicationAssociativity,"('(a+(c+f))', 'b', '(a+c)')",6
82,"('(c+f)=c', '(a+(c+f))=(a+c)', '((a+(c+f))*(b*(a+c)))=(((a+(c+f))*b)*(a+c))')",EquivalenceSubstitution,"('(a+(c+f))', '(a+c)')",6
83,"('(c+f)=c', '(a+(c+f))=(a+c)', '((a+(c+f))*(b*(a+c)))=(((a+(c+f))*b)*(a+c))', '((a+c)*(b*(a+c)))=(((a+(c+f))*b)*(a+c))')",MultiplicationOne,"('1', '((a+c)*(b*(a+c)))')",6
84,"('(c+f)=c', '(a+(c+f))=(a+c)', '((a+(c+f))*(b*(a+c)))=(((a+(c+f))*b)*(a+c))', '((a+c)*(b*(a+c)))=(((a+(c+f))*b)*(a+c))', '((a+c)*(b*(a+c)))=(1*((a+c)*(b*(a+c))))')",EquivalenceSubstitution,"('((a+c)*(b*(a+c)))', '(((a+(c+f))*b)*(a+c))')",6
85,"('(c+f)=c', '(a+(c+f))=(a+c)', '((a+(c+f))*(b*(a+c)))=(((a+(c+f))*b)*(a+c))', '((a+c)*(b*(a+c)))=(((a+(c+f))*b)*(a+c))', '((a+c)*(b*(a+c)))=(1*((a+c)*(b*(a+c))))', '(((a+(c+f))*b)*(a+c))=(1*((a+c)*(b*(a+c))))')",MultiplicationSimplification,"('(((a+(c+f))*b)*(a+c))',)",6
86,"('(c+f)=c', '(a+(c+f))=(a+c)', '((a+(c+f))*(b*(a+c)))=(((a+(c+f))*b)*(a+c))', '((a+c)*(b*(a+c)))=(((a+(c+f))*b)*(a+c))', '((a+c)*(b*(a+c)))=(1*((a+c)*(b*(a+c))))', '(((a+(c+f))*b)*(a+c))=(1*((a+c)*(b*(a+c))))', '1=((((a+(c+f))*b)*(a+c))*(\\frac{1}{(((a+(c+f))*b)*(a+c))}))')",EquivalenceSubstitution,"('(((a+(c+f))*b)*(a+c))', '(1*((a+c)*(b*(a+c))))')",6
87,"('(c+f)=c', '(a+(c+f))=(a+c)', '((a+(c+f))*(b*(a+c)))=(((a+(c+f))*b)*(a+c))', '((a+c)*(b*(a+c)))=(((a+(c+f))*b)*(a+c))', '((a+c)*(b*(a+c)))=(1*((a+c)*(b*(a+c))))', '(((a+(c+f))*b)*(a+c))=(1*((a+c)*(b*(a+c))))', '1=((((a+(c+f))*b)*(a+c))*(\\frac{1}{(((a+(c+f))*b)*(a+c))}))', '1=((((a+(c+f))*b)*(a+c))*(\\frac{1}{(1*((a+c)*(b*(a+c))))}))')",SquareDefinition,"('1',)",6
88,"('(c+f)=c', '(a+(c+f))=(a+c)', '((a+(c+f))*(b*(a+c)))=(((a+(c+f))*b)*(a+c))', '((a+c)*(b*(a+c)))=(((a+(c+f))*b)*(a+c))', '((a+c)*(b*(a+c)))=(1*((a+c)*(b*(a+c))))', '(((a+(c+f))*b)*(a+c))=(1*((a+c)*(b*(a+c))))', '1=((((a+(c+f))*b)*(a+c))*(\\frac{1}{(((a+(c+f))*b)*(a+c))}))', '1=((((a+(c+f))*b)*(a+c))*(\\frac{1}{(1*((a+c)*(b*(a+c))))}))', '(1*1)=(1^2)')",EquivalenceSubstitution,"('1', '((((a+(c+f))*b)*(a+c))*(\\frac{1}{(1*((a+c)*(b*(a+c))))}))')",6
89,(),SquareDefinition,"('c',)",8
90,"('(c*c)=(c^2)',)",AdditionCommutativity,"('(c*c)', '(c*c)')",8
91,"('(c*c)=(c^2)', '((c*c)+(c*c))=((c*c)+(c*c))')",EquivalenceSubstitution,"('(c*c)', '(c^2)')",8
92,"('(c*c)=(c^2)', '((c*c)+(c*c))=((c*c)+(c*c))', '((c^2)+(c*c))=((c*c)+(c*c))')",AdditionZero,"('((c^2)+(c*c))', '0')",8
93,"('(c*c)=(c^2)', '((c*c)+(c*c))=((c*c)+(c*c))', '((c^2)+(c*c))=((c*c)+(c*c))', '((c^2)+(c*c))=(((c^2)+(c*c))+0)')",EquivalenceSubstitution,"('((c^2)+(c*c))', '((c*c)+(c*c))')",8
94,"('(c*c)=(c^2)', '((c*c)+(c*c))=((c*c)+(c*c))', '((c^2)+(c*c))=((c*c)+(c*c))', '((c^2)+(c*c))=(((c^2)+(c*c))+0)', '((c*c)+(c*c))=(((c^2)+(c*c))+0)')",AdditionAssociativity,"('((c*c)+(c*c))', '0', '(c*c)')",8
95,"('(c*c)=(c^2)', '((c*c)+(c*c))=((c*c)+(c*c))', '((c^2)+(c*c))=((c*c)+(c*c))', '((c^2)+(c*c))=(((c^2)+(c*c))+0)', '((c*c)+(c*c))=(((c^2)+(c*c))+0)', '(((c*c)+(c*c))+(0+(c*c)))=((((c*c)+(c*c))+0)+(c*c))')",EquivalenceSubstitution,"('((c*c)+(c*c))', '(((c^2)+(c*c))+0)')",8
96,"('(c*c)=(c^2)', '((c*c)+(c*c))=((c*c)+(c*c))', '((c^2)+(c*c))=((c*c)+(c*c))', '((c^2)+(c*c))=(((c^2)+(c*c))+0)', '((c*c)+(c*c))=(((c^2)+(c*c))+0)', '(((c*c)+(c*c))+(0+(c*c)))=((((c*c)+(c*c))+0)+(c*c))', '((((c^2)+(c*c))+0)+(0+(c*c)))=((((c*c)+(c*c))+0)+(c*c))')",MultiplicationOne,"('1', '((((c^2)+(c*c))+0)+(0+(c*c)))')",8
97,"('(c*c)=(c^2)', '((c*c)+(c*c))=((c*c)+(c*c))', '((c^2)+(c*c))=((c*c)+(c*c))', '((c^2)+(c*c))=(((c^2)+(c*c))+0)', '((c*c)+(c*c))=(((c^2)+(c*c))+0)', '(((c*c)+(c*c))+(0+(c*c)))=((((c*c)+(c*c))+0)+(c*c))', '((((c^2)+(c*c))+0)+(0+(c*c)))=((((c*c)+(c*c))+0)+(c*c))', '((((c^2)+(c*c))+0)+(0+(c*c)))=(1*((((c^2)+(c*c))+0)+(0+(c*c))))')",EquivalenceSubstitution,"('((((c^2)+(c*c))+0)+(0+(c*c)))', '((((c*c)+(c*c))+0)+(c*c))')",8
98,"('((c*b)+f)=(c*b)',)",AdditionMultiplicationRightDistribution,"('c', 'b', 'c')",6
99,"('(c*(b+c))=((c*b)+(c*c))', '((c*b)+f)=(c*b)')",SquareDefinition,"('c',)",6
100,"('(c*(b+c))=((c*b)+(c*c))', '(c*c)=(c^2)', '((c*b)+f)=(c*b)')",EquivalenceSubstitution,"('(c*c)', '(c^2)')",6
